,Country,Country_Code,City,Airport_Name,Airport_Code
185,France,FR,Rochefort / Saint-Agnant,Rochefort â Saint-Agnant Airport,RCO
186,France,FR,Rodez,Rodez-Aveyron Airport,RDZ
187,France,FR,Rouen,AÃ©roport Rouen VallÃ©e de Seine,URO
188,France,FR,Royan / MÃ©dis,Royan - MÃ©dis Aerodrome,RYN
189,France,FR,Saint-Brieuc,AÃ©roport de Saint-Brieuc - Armor,SBK
190,France,FR,Saint-CrÃ©pin,Mont-Dauphin-Saint-CrÃ©pin Airport,SCP
191,France,FR,Saint-Cyr-l'Ãcole,Saint-Cyr-l'Ãcole Aerodrome,XZB
192,France,FR,Saint-Ãtienne,AÃ©roport de Boutheon,EBU
193,France,FR,Saint-Nazaire,AÃ©roport de Saint Nazaire-Montoir,SNR
194,France,FR,Saint-Tropez,AÃ©roport Saint-Tropez,LTT
195,France,FR,Saint-Yan,Saint-Yan Airport,SYT
196,France,FR,Saumur / Saint-Florent,Saumur - Saint-Hilaire - Saint-Florent Aerodrome,XSU
197,France,FR,Strasbourg,AÃ©roport de Strasbourg,SXB
198,France,FR,Toulon,AÃ©roport de Toulon-HyÃ¨res,TLN
199,France,FR,Toulouse,AÃ©roport de Toulouse-Blagnac,TLS
200,France,FR,Tours,AÃ©roport de Tours Val de Loire,TUF
201,France,FR,Toussus-le-Noble,Toussus-le-Noble Airport,TNF
202,France,FR,Valence,AÃ©roport de Chabeuil,VAF
203,France,FR,Valenciennes,Valenciennes-Denain Airport,XVS
204,France,FR,Vannes,AÃ©roport de Vannes,VNE
205,France,FR,Vatry,AÃ©roport de Paris Vatry,XCR
206,France,FR,Vichy,AÃ©roport de Vichy-Charmeil,VHY
207,France,FR,Vosges,AÃ©roport d'Epinal-Mirecourt,EPL
208,Georgia,GE,Batumi,Batumi International Airport,BUS
209,Georgia,GE,Kutaisi,King David The Builder Kutaisi International Airport,KUT
210,Georgia,GE,Tbilisi,TbilisiÂ  International Airport,TBS
211,Germany,DE,Baden Baden,Karlsruhe/Baden-Baden Airport,FKB
212,Germany,DE,Berlin,Berlin Brandenburg Airport,BER
213,Germany,DE,Berlin,Schoenefeld Airport,SXF
214,Germany,DE,Berlin,Tegel Airport,TXL
215,Germany,DE,Bremen,Flughafen Bremen,BRE
216,Germany,DE,Cologne,KÃ¶ln-Bonn Airport,CGN
217,Germany,DE,Dortmund,Flughafen Dortmund,DTM
218,Germany,DE,Dresden,Flughafen Dresden,DRS
219,Germany,DE,DÃ¼sseldorf,DÃ¼sseldorf International Airport,DUS
220,Germany,DE,Erfurt,Flughafen Erfurt-Weimar,ERF
221,Germany,DE,Frankfurt,Flughafen Frankfurt/Main,FRA
222,Germany,DE,Friedrichshafen,Flughafen Friedrichshafen,FDH
223,Germany,DE,Hahn,Flughafen Frankfurt-Hahn,HHN
224,Germany,DE,Hamburg,Flughafen Hamburg,HAM
225,Germany,DE,Hanover,Flughafen Hannover,HAJ
226,Germany,DE,Leipzig,Flughafen Leipzig/Halle,LEJ
227,Germany,DE,Lippstadt,Flughafen Paderborn/Lippstadt,PAD
228,Germany,DE,Memmingerberg,Memmingen Airport,FMM
229,Germany,DE,Munich,Munich Airport,MUC
230,Germany,DE,MÃ¼nster,Flughafen MÃ¼nster/OsnabrÃ¼ck,FMO
231,Germany,DE,Nuremberg,Flughafen International Nuremberg,NUE
232,Germany,DE,Rostock,Flughafen Rostock-Laage,RLG
233,Germany,DE,Saarbruecken,Saarbruecken Airport,SCN
234,Germany,DE,Stuttgart,Flughafen Stuttgart,STR
235,Germany,DE,Weeze,Weeze Airport / Niederrhein Airport,NRN
236,Gibraltar,GI,Gibraltar,Gibraltar Airport,GIB
237,Greece,GR,Alexandroupolis,Alexandroupolis International Airport Democritos,AXD
238,Greece,GR,Araxos/Patras,Araxos Airport,GPA
239,Greece,GR,Astypalaia,Astypalaia Island National Airport,JTY
240,Greece,GR,Athens,Athens International Airport,ATH
241,Greece,GR,Chania,Chania International Airport,CHQ
242,Greece,GR,Chios,Chios Island National Airport,JKH
243,Greece,GR,Heraklion,Heraklion International Airport,HER
244,Greece,GR,Ikaria,Ikaria Island National Airport,JIK
245,Greece,GR,Ioannina,Ioannina National Airport,IOA
246,Greece,GR,Kalamata,Kalamata International Airport,KLX
247,Greece,GR,Kalymnos,Kalymnos National Airport,JKL
